start,steps_to_1,maximum,parity_word,parity_length,odd_count,even_count,odd_transition_count,odd_ratio,zero_run_count,max_zero_run,mean_zero_run,first_16_bits,last_16_bits
204,26,232,001010001000101001000100001,27,8,19,7,0.2962962962962963,8,4,2.3750,0010100010001010,0101001000100001
205,26,616,100010001000101001000100001,27,8,19,7,0.2962962962962963,7,4,2.7143,1000100010001010,0101001000100001
206,88,9232,01010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,89,32,57,31,0.3595505617977528,32,5,1.7812,0101010010101010,1010100000100001
207,88,9232,10101010001010100100010101001010010101010101000101010100001001001000010001010100000100001,89,32,57,31,0.3595505617977528,31,5,1.8387,1010101000101010,1010100000100001
208,13,208,00001000100001,14,3,11,2,0.21428571428571427,3,4,3.6667,00001000100001,00001000100001
209,39,628,1001000101001010000101000101001000100001,40,13,27,12,0.325,12,4,2.2500,1001000101001010,0101001000100001
210,39,808,0100101010100010000101000101001000100001,40,13,27,12,0.325,13,4,2.0769,0100101010100010,0101001000100001
211,39,952,1010001010100010000101000101001000100001,40,13,27,12,0.325,12,4,2.2500,1010001010100010,0101001000100001
212,13,212,00100000100001,14,3,11,2,0.21428571428571427,3,5,3.6667,00100000100001,00100000100001
213,13,640,10000000100001,14,3,11,2,0.21428571428571427,2,7,5.5000,10000000100001,10000000100001
214,101,9232,010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,102,37,65,36,0.3627450980392157,37,5,1.7568,0101001001010010,1010100000100001
215,101,9232,101010000101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,102,37,65,36,0.3627450980392157,36,5,1.8056,1010100001010010,1010100000100001
216,114,9232,0001010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,115,42,73,41,0.3652173913043478,42,5,1.7381,0001010010101010,1010100000100001
217,26,736,100101000001010100000100001,27,8,19,7,0.2962962962962963,7,5,2.7143,1001010000010101,1010100000100001
218,114,9232,0100010010101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,115,42,73,41,0.3652173913043478,42,5,1.7381,0100010010101010,1010100000100001
219,52,1672,10100101010001001000101001010000101000101001000100001,53,18,35,17,0.33962264150943394,17,4,2.0588,1010010101000100,0101001000100001
220,114,9232,0010101000101010100100101001010100101010100100010101001010010101010101000101010100001001001000010001010100000100001,115,42,73,41,0.3652173913043478,42,5,1.7381,0010101000101010,1010100000100001
